Engineer,JobDate,JobNumber ,ClientName,SITENAME,Product,Vendor,ServiceType,TimeIN,TimeOUT,JobStatus ,NonClosureReason,Remarks,KMStart,KMEnd,SalesRep,Location,Area / City,NatureOfJob,CostCentre,Day,Actual Hours,School ID - SLP
SHIJO,07-Jun-18,5895,Cash Customer,Cash Customer,L3050,EPSON,REPAIR,08.00 AM,10.00 AM,COMPLETED,ABNORMAL PRINT,,,,,,,,,,,
SHIJO,07-Jun-18,5896,Soil deep,Soil deep,L365,EPSON,REPAIR,10.00 AM,11.00 AM,NON COMP,NOT PRINTING,,,,,,,,,,,
SHIJO,07-Jun-18,5898,Presto BUSINES,Presto BUSINES,SC2000,BROTHER,REPAIR,11.00AM,01.00PM,NON COMP,RESET STAMP-ERROR MESSG,,,,,,,,,,,
SHIJO,07-Jun-18,5900,Bright Apollo,Bright appolo,L3050,EPSON,REPAIR,1.00 PM,2.00 PM,COMPLETED,,,,,,,,,,,,
SHIJO,07-Jun-18,5910,Ashoka electr,Ashoka electr ,PTD600,BROTHER,REPAIR,02.00 PM,03.00 PM,COMPLETED,,,,,,,,,,,,
SHIJO,10-Jun-18,5916,Saood computer,Saood computer,LQ2190,EPSON,REPAIR,08.00AM,09.00 AM,COMPLETED,,,,,,,,,,,,
SHIJO,10-Jun-18,5920,Cash Customer,Cash Customer,CX9300F,EPSON,REPAIR,09.00AM,11.00AM,NOT COMPLTE,ABNORMAL PRINT,,,,,,,,,,,
SHIJO,10-Jun-18,5927,Cash Customer,Cash Customer,L386,EPSON,REPAIR,11.00 AM,01.00PM,COMPLETED,PAPER JAM,,,,,,,,,,,
SHIJO,10-Jun-18,5937,Music arts,Music arts,L355,EPSON,REPAIR,01.00 PM,02.00PM,COMPLETED,NOT PRINTING,RETURN,,,,,,,,,,
SHIJO,10-Jun-18,5941,Saood computer,Saood computer,LQ2190,EPSON,REPAIR,02.00PM,03.00 PM,ABNORMAL PRINTING,,COMBINTN GEAR,,,,,,,,,,
SHIJO,11-Jun-18,5972,Grand Pcd,Grand Pcd,LQ 350,EPSON,REPAIR,08.00AM,09.00AM,ABNORMAL PRINTING,,MAIN BOARD,,,,,,,,,,
SHIJO,11-Jun-18,5977,Ace Crane,Ace Crane,PT7600,BROTHER,REPAIR,09.00AM,11.00AM,ABNORMAL PRINTING,MAIN BOARD,WAITNG PARTS,,,,,,,,,,
SHIJO,11-Jun-18,5978,Ace Crane,Ace Crane,PTE 300,BROTHER,REPAIR,11.00AM,01.00PM,ABNORMAL PRINTING,WAITNG PARTS,,,,,,,,,,,
SHIJO,11-Jun-18,5979,AL BADAWI,AL BADAWI ELECTR,L 365,EPSON,REPAIR,01.00PM,02.00PM,POROUS PAD,WAITNG PARTS,,,,,,,,,,,
SHIJO,11-Jun-18,5991,AL TIMUS,AL TIMUS,PT D200,BROTHER,REPAIR,02.00PM,03.00PM,REPLACE UNIT,SWAP,,,,,,,,,,,
SHIJO,12-Jun-18,5994,SATYA,SATYA,L365,EPSON,REPAIR,08.00AM,10.00AM,ABNORMAL PRINTING,PRINT HEAD,,,,,,,,,,,
SHIJO,12-Jun-18,5996,Viswanath Sreepada,Viswanath Sreepada,L3060,EPSON,REPAIR,10.00AM,11.45 AM,ABNORMAL PRINTING,TWO LIGHTS BLINKNG,,,,,,,,,,,
